model,accuracy,precision,recall,f1,roc_auc,pr_auc
random_forest,0.7252978276103714,0.7238632592100896,0.7476859787452863,0.7355817875210793,0.8020551144669303,0.7913521924503079
extra_trees,0.7137351086194814,0.7137620793068977,0.7343160781624957,0.7238932071645826,0.7846571335185688,0.7691799363955472
xgboost,0.7039243167484233,0.7230098146128681,0.6818649297223175,0.7018348623853211,0.7834396445698728,0.7671268056750244
logistic_regression,0.7051506657323056,0.6929330831769857,0.7596846074734316,0.7247751430907604,0.7802617920597168,0.7601595067236739
