feature,importance_mean,importance_std
order_frequency_all_time,0.004818020607235307,0.0017386336462002613
revenue_per_day_all_time,0.0029713678254715383,0.0016010633518363892
lines_all_time,0.002625134958331632,0.0010267381097038087
snapshot_month,0.0023298380170472697,0.0007309983773405467
window_active_span_days,0.0006539455219424451,0.0011240178175819628
quantity_per_order_all_time,0.0006472763875170484,0.0005022895858310979
recent_orders,0.0006307958380328049,0.0004498807588118465
orders_last_window,0.0005890130922142189,0.0008664512261757637
monetary_ratio_window_to_all,0.0005272680145105956,0.000900749906028067
avg_lines_per_order_last_window,0.0004794445579219042,0.00017432458566709843
recency_days,0.000401531737662264,0.0007179058722515201
product_slots_last_window,0.00021092778614022477,0.0007765680137700153
avg_days_between_orders,0.00011921431897421453,0.0018198546622706195
previous_revenue,9.035494253306631e-05,0.0004063935156973482
max_order_value_last_window,6.981669555272685e-05,0.0004895448228812867
purchase_acceleration,3.996431849579984e-05,0.00013961517802276726
snapshot_quarter,0.0,0.0
is_repeat_customer,-3.4966384751333736e-05,8.095547678036069e-05
lines_last_window,-5.4760949653598344e-05,0.000601607808916462
country,-0.00014307839629279506,0.00015978120771803402
avg_products_per_order_last_window,-0.00016963756738024304,0.0005016768165352147
recent_vs_previous_order_ratio,-0.00017712014540158805,0.00018853326469661156
revenue_acceleration,-0.00018873432502994892,0.0003231026393885633
is_one_time_customer,-0.00022494212691437365,0.00019786755915617528
recent_vs_previous_revenue_ratio,-0.0002291607238874782,0.0005152606737311989
min_order_value_all_time,-0.0003279121326069001,0.0005110183421469723
product_slots_all_time,-0.00033331613439702146,0.0012693033967455414
log_revenue_last_window,-0.0003500668157697895,0.0015319665674917414
previous_orders,-0.0003774834336315536,0.00029457126748338536
avg_quantity_per_order_last_window,-0.0005529040474487434,0.0006286234993178599
recent_revenue,-0.0006444439179270178,0.0009271193517868735
customer_age_days,-0.000663599069105314,0.0006650400290762758
std_order_value_all_time,-0.0006827525544122137,0.00042012527589184966
avg_order_value_all_time,-0.0007399749855709015,0.0004700033333500586
order_ratio_window_to_all,-0.0007727977021237508,0.0004148568186032999
quantity_last_window,-0.0008473583720727485,0.0008800780125652338
log_avg_order_value_last_window,-0.0009179603394379842,0.0005970315480701889
orders_per_active_day_window,-0.0009699251016283439,0.0021296677081684297
max_order_value_all_time,-0.0010033486423290273,0.0002514428283009582
active_span_days,-0.0012606347624188885,0.0009096713788283623
revenue_last_window,-0.0012676585427919163,0.0012337152298922177
std_order_value_last_window,-0.0013121041261555445,0.0006463724368897688
log_revenue_all_time,-0.0016920239309011764,0.00263091097139755
revenue_per_order_all_time,-0.0017480774060015802,0.0003985269650430151
avg_order_value_last_window,-0.002067890088662683,0.0007761158923158224
quantity_all_time,-0.002385469541774343,0.0020183263855248694
orders_all_time,-0.002431705470148748,0.0011874300288583614
min_order_value_last_window,-0.0025570768772333885,0.0004967878181075814
recency_to_age_ratio,-0.0030381704206187353,0.0015825783512385244
revenue_all_time,-0.0038126408316073944,0.00175410802043768
