threshold,precision,recall,f1,accuracy
0.05,0.5297110666908958,0.9993143640726774,0.6923990498812351,0.5462508759635599
0.06,0.5338097855964816,0.9986287281453549,0.6957248626701695,0.5536089698668535
0.07,0.5368867576540022,0.9979430922180322,0.6981652476316105,0.5590399439383321
0.08,0.5393883225208527,0.9976002742543709,0.7001924927815207,0.5634197617379118
0.09,0.543823584376752,0.9976002742543709,0.7039187227866474,0.5711282410651717
0.1,0.5472515060240963,0.9965718203633871,0.7065257017863653,0.5769096005606167
0.11,0.550521327014218,0.9955433664724032,0.708984375,0.5823405746320953
0.12,0.5547696425157713,0.9948577305450805,0.7123220422189495,0.5893482831114225
0.13,0.5583590138674884,0.9938292766540967,0.7150080157849303,0.5951296426068675
0.14,0.5612027158098933,0.9917723688721289,0.716798810703667,0.599509460406447
0.15,0.5648690894880812,0.9910867329448063,0.7196017423771002,0.605290819901892
0.16,0.5683651386976195,0.9904010970174837,0.72225,0.6107217939733707
0.17,0.5715135885736957,0.9876585533081933,0.7240512691631064,0.6152768044849334
0.18,0.575806128580012,0.9856016455262255,0.7269279393173198,0.6215837421163279
0.19,0.5800848313472026,0.9845731916352417,0.730045754956787,0.6278906797477225
0.2,0.5836219189244245,0.9821734658896126,0.7321748019422438,0.6327960756832516
0.21,0.585860655737705,0.9801165581076449,0.7333589842247018,0.6357743517869656
0.22,0.5885749639100846,0.9784024682893384,0.7349987123358228,0.6394533987386125
0.23,0.591675338189386,0.9746314706890641,0.7363377363377364,0.6433076384022425
0.24,0.5940905280804694,0.9718889269797737,0.7374170893484199,0.6462859145059565
0.25,0.598557182261829,0.9670894754885156,0.7394495412844037,0.6517168885774351
0.26,0.6018399657680787,0.9643469317792253,0.7411408246607825,0.6557463209530483
0.27,0.6045808124459809,0.9592046623243058,0.7416832339297548,0.6585494043447793
0.28,0.6085626911314985,0.9550908467603703,0.74342895263509,0.663104414856342
0.29,0.6142951980526665,0.9516626671237572,0.7466379774072082,0.6699369306236861
0.3,0.617831541218638,0.945491943777854,0.7473242108115431,0.6732655921513665
0.31,0.6223585548738922,0.9389784024682893,0.7485651817436458,0.677645409950946
0.32,0.62557497700092,0.9324648611587247,0.7487955953200275,0.6802733006306938
0.33,0.6287914139057397,0.9238944120671924,0.7482993197278912,0.6823756131744919
0.34,0.634469696969697,0.9187521426122729,0.7505951547402324,0.6879817799579537
0.35,0.6386957564133301,0.9132670551936921,0.7516930022573364,0.6916608269096005
0.36,0.6422330097087379,0.9070963318477888,0.7520250106579508,0.6942887175893483
0.37,0.6472916151372743,0.8971546109016112,0.7520114942528736,0.6976173791170287
0.38,0.6531588220488296,0.8896126157010628,0.7532656023222061,0.7021723896285914
0.39,0.6579148610757074,0.8848131642098046,0.7546783625730994,0.7060266292922215
0.4,0.6623410329613288,0.874871443263627,0.7539143279172821,0.7081289418360196
0.41,0.6683457051961824,0.8642440863901268,0.7537748542383017,0.7114576033637001
0.42,0.6746010278604274,0.8549880013712718,0.7541578469912307,0.7151366503153469
0.43,0.6802871341800111,0.844703462461433,0.753632053830861,0.7177645409950946
0.44,0.6843291995490417,0.8323620157696263,0.7511214230471771,0.7181149264190609
0.45,0.69288824383164,0.8183064792595132,0.7503929581892487,0.7217939733707078
0.46,0.6981861433244128,0.8049365786767226,0.7477707006369426,0.7224947442186405
0.47,0.7036585365853658,0.7912238601302708,0.7448765531708892,0.72302032235459
0.48,0.7095761381475667,0.7747685978745287,0.7407407407407407,0.7228451296426068
0.49,0.7184779103514995,0.7637984230373671,0.7404453306746427,0.7263489838822705
0.5,0.7238632592100896,0.7476859787452863,0.7355817875210793,0.7252978276103714
0.51,0.7286926994906622,0.7356873500171409,0.732173319686114,0.724947442186405
0.52,0.7335664335664336,0.7192320877613987,0.7263285442271075,0.72302032235459
